"ItemID","Description","Barcode","Manufacturer","Qty","UnitPrice",
"C0020-FP","Uncommon Case iPhone 5 Deflector HT Red & Black","846899012331","Uncommon","2719","18.101998793959638",
"PMAD3032RED","Puma Headphone Keg + Mic Red","886510022486","Puma","92","20.689198649096511",
"BT-900-00018-03","Beats Headphone iPhone iPod Solo HD Dark Blue","848447001804","Beats by Dre","0","113.82839183185115",
"KESG18","Marware Case Kindle Touch SportGrip Gray","602956009795","Marware","45","12.927599884772292",
"KGAT1H","Marware Case Kindle Kindle Touch Atlas Charcoal","602956009504","Marware","38","15.514798938822764",
"C0020-FR","Uncommon Case iPhone 5 Deflect Linear Floral Blue","846899012355","Uncommon","596","18.101998793959638",
"602956010937","Marware Case iPhone 5 rEVOLUTION White Sea","602956010937","Marware","20","18.101998793959638",
"602956010951","Marware Case iPhone 5 MicroShell Pink","602956010951","Marware","22","12.927599884772292",
"602956011033","Marware Screen Protector Kit iPhone 5","602956011033","Marware","226","6.2075996940374409",
"AIMF11","Marware Case iPad Mini MicroShell Folio Black","602956010739","Marware","4","18.101998793959638",
"AIMF1Y","Marware Case iPad Mini MicroShell Folio Purple","602956011408","Marware","35","18.101998793959638",
"C0020-FQ","Uncommon Case iPhone 5 Deflector Mini Dots Teal","846899012348","Uncommon","820","18.101998793959638",
"PMAD3034BLWH","Puma Headphone Roadies + Mic Black / White","886510022561","Puma","90","18.101998793959638",
"BT-900-00009-03","Beats Headphone Wireless Black","848447000906","Beats by Dre","0","163.50598976814763",
"SW-LAN5-GY","SwitchEasy Case iPhone5 Lanyard Quartz Grey","4897017130426","SwitchEasy","33","15.514798938822764",
"BT-900-00069-03","Beats Headphone iPhone Studio Blue","848447000722","Beats by Dre","387","181.09559126975546",
"0APLSQF070","Orla Kiely Shoulder Bag 15 Laptop Square Flower","5051179378525","Orla Kiely","40","67.258797643733033",
"PD3-TR1-C-P","M-Edge Trip Case for iPad 2 3 4 Purple","813580016138","M-Edge","15","20.689198649096511",
"CHWHT-045","Lunatik Chubby Stylus White","852352003532","Minimal","94","10.340400029635418",
"SW-COLT5-P","Switcheasy Case iPod Touch5 Colors Pink","4897017129628","SwitchEasy","18","12.927599884772292",
"SW-COLT5-PU","Switcheasy Case iPod Touch5 Colors Viola","4897017129635","SwitchEasy","10","12.927599884772292",
"SW-LAN5-P","SwitchEasy Case iPhone5 Lanyard Blossom Pink","4897017129055","SwitchEasy","119","15.514798938822764",
"0APLSQF068","Orla Kiely Carry Case 13 Laptop Square Flower","5051179378488","Orla Kiely","60","41.386799092364299",
"BT-900-00071-03","Beats Headphone iPhone Studio Orange","848447000760","Beats by Dre","257","181.09559126975546",
"PM1-Z-C-R","M-Edge Latitude Case for iPad Mini\, Red","849108001065","M-Edge","34","18.101998793959638",
"FLK5-003","Lunatik Case iPhone 5 FLAK Black / Pink","852352003686","Minimal","32","18.101998793959638",
"BT-900-00047-03","Beats Headphone Executive Silver","848447001705","Beats by Dre","192","139.70039358756549",
"SW-HEAKI5-P","SwitchEasy Case iPhone5 KIRIGAMI Heart Hot Love","4897017130099","SwitchEasy","6","15.514798938822764",
"SW-NUIP3-P","Switcheasy Case iPad 2 3 4 NUDE Fuchsia","4897017129116","SwitchEasy","38","18.101998793959638",
"SW-COLN7-L","Switcheasy Case iPod Nano7 Colors Yellow","4897017129895","SwitchEasy","18","9.3071996453285237",
"PM1-IN1-MF-R","M-Edge Case iPad Mini Incline Red","849108000631","M-Edge","34","16.03559962751865",
"BT-900-00031-03","Beats Headphone Mixr Black","848447000418","Beats by Dre","1261","139.70039358756549",
"AK3-Z1-C-NB","M-Edge Case Kindle Fire Latitude Navy Blue","813580017913","M-Edge","35","18.101998793959638",
"AK3-Z1-C-P","M-Edge Case Kindle Fire Latitude Purple","813580017944","M-Edge","34","18.101998793959638",
"AK3-Z1-C-PK","M-Edge Case Kindle Fire Latitude Pink","813580017951","M-Edge","36","18.101998793959638",
"SW-PUR5-PRI","SwitchEasy Protector iPhone5 Pure Privacy","4897017130297","SwitchEasy","91","11.894399500465397",
"IP-1883","PDP Case iPhone 5 Disney Pop Art Mickey","0708056518837","PDP","0","15.514798938822764",
"IP-1884","PDP Case iPhone 5 Disney Pop Art Minnie","0708056518844","PDP","5","15.514798938822764",
"BT-900-00022-03","Beats Headphones Studio Black","848447000708","Beats by Dre","3131","181.09559126975546",
"1014929","Klipsch Headphone Image A5i Green / Grey Sport","743878024654","Klipsch","152","67.258797643733033",
"PMAD2010BLWH","Puma Sleeve Laptop Formstripe 15.6 Black / White","886510035691","Puma","129","20.689198649096511",
"AIVB1J","Marware Case iPad Mini Vibe Green","602956011422","Marware","38","15.514798938822764",
"BT-900-00077-03","Beats Headphone urBeats Gloss White","848447001538","Beats by Dre","0","51.735598512911793",
"PMAD2002BLWH","Puma Sleeve Laptop Formstripe 13 Black / White","886510035387","Puma","768","20.689198649096511",
"SW-MEL4S-MS","SwitchEasy Case iPhone 4 4S Melt Milky Strawberry","4897017129062","SwitchEasy","9","20.689198649096511",
"BT-900-00053-31","Beats Speaker Bluetooth Pill Black UK Plug","848447002276","Beats by Dre","14","139.70039358756549",
"AK4-GO1-MF-R","M-Edge Case Kindle Kindle Touch GO! Red","813580016787","M-Edge","34","18.101998793959638",
"BT-900-00066-03","Beats Headphone urBeats Matte Black","848447001576","Beats by Dre","0","51.735598512911793",
"BT-900-00012-03","Beats Headphone iPhone iPod Solo HD White","848447000647","Beats by Dre","3226","113.82839183185115",
"602956010920","Marware Case iPhone 5 rEVOLUTION Black Sea","602956010920","Marware","13","18.101998793959638",
"602956010975","Marware Case iPhone 5 MicroShell Blue","602956010975","Marware","2","12.927599884772292",
"SW-COLN7-PU","Switcheasy Case iPod Nano7 Colors Purple","4897017129888","SwitchEasy","15","9.3071996453285237",
"BT-900-00015-03","Beats Headphones Studio Pink","848447001415","Beats by Dre","217","181.09559126975546",
"SW-DAHI5-P","SwitchEasy Case iPhone5 Dahlia Sparkling Pink","4897017130709","SwitchEasy","11","15.514798938822764",
"SW-RCP-SR","SwitchEasy Case iPad 2 3 4 RibCage Mercury","4897017124036","SwitchEasy","9","20.689198649096511",
"BTI-PinkUK","Amethyst Speaker Bluetooth iPig Pink UK","5391514467263","Amethyst","0","36.212399382090553",
"PMAD7069TAN","Puma Case iPhone 5 Engineer Tan","886510044082","Puma","429","15.514798938822764",
"SW-HEAKI5-W","SwitchEasy Case iPhone5 KIRIGAMI Heart Pure Love","4897017130112","SwitchEasy","89","15.514798938822764",
"PD3-IN1-MF-PNW","M-Edge Incline Case for iPad 2 3 4\, Purple","813580016176","M-Edge","31","25.863599961543059",
"PD3-SH1-N-GNW","M-Edge SuperShell for iPad 2 3 4\, Green","813580019320","M-Edge","21","18.101998793959638",
"AK4-ZRM-C-BPK","M-Edge Case Kindle Kindle Touch Latitude Blk Pink","813580016770","M-Edge","32","18.101998793959638",
"SG-MN1-BK","X-1 Headphones Surge Mini Black/Blue","689076075114","H2O","4","25.863599961543059",
